+-----+-----------------------------------------------------------------------+------------------------------------------------------------------+--------------+---------+---------------------+-------------+-------------+
|     |                                Expedia                                |                             Booking                              | Jaro-Winkler | Soundex | Damerau-Levenshtein | Ймовірність |   Рішення   |
| 15  |                      Signature Room, 1 King Bed                       |                        Signature One King                        |     0.68     |  1.00   |        11.0         |     68%     | Не належить |
| 16  |                      Premium Room, 2 Queen Beds                       |                        Premium Two Queen                         |     0.70     |  1.00   |        11.0         |     68%     | Не належить |
| 17  |               Studio, 1 King Bed with Sofa bed, Corner                |                        Corner King Studio                        |     0.62     |  0.00   |        31.0         |     80%     |  Належить   |
| 18  |                        Club Room, 2 Queen Beds                        |                          Club Two Queen                          |     0.65     |  0.00   |        11.0         |     80%     |  Належить   |
| 19  |                         Club Room, 1 King Bed                         |                          Club One King                           |     0.59     |  0.00   |        11.0         |     0%      | Не належить |
| 20  |                    Club Room, Premium 2 Queen Beds                    |                      Club Premium Two Queen                      |     0.75     |  0.00   |        14.0         |     82%     |  Належить   |
| 21  |                           Suite, 1 Bedroom                            |                        One Bedroom Suite                         |     0.79     |  0.00   |        13.0         |     83%     |  Належить   |
| 22  |                        Deluxe Room, City View                         |                    Deluxe King Or Queen Room                     |     0.47     |  0.00   |        16.0         |     19%     | Не належить |
| 23  |                        Deluxe Room, Lake View                         |             Deluxe King Or Queen Room with Lake View             |     0.68     |  0.00   |        19.0         |     80%     |  Належить   |
| 24  |        Club Room, City View (Club Lounge Access for 2 guests)         |           Club Level King Or Queen Room with City View           |     0.51     |  0.00   |        39.0         |     0%      | Не належить |
| 25  |        Club Room, Lake View (Club Lounge Access for 2 guests)         |          Club Level King Or Queen Room with Water View           |     0.53     |  0.00   |        40.0         |     0%      | Не належить |
| 26  |                        Deluxe Room, 1 King Bed                        |                    Deluxe Room - One King Bed                    |     0.86     |  1.00   |         5.0         |     68%     | Не належить |
| 27  |                       Deluxe Room, 2 Queen Beds                       |                   Deluxe Room - Two Queen Beds                   |     0.87     |  1.00   |         5.0         |     68%     | Не належить |
| 28  |                 Premier Room, 1 King Bed (Royal Club)                 |              Royal Club Premier Room - One King Bed              |     0.72     |  0.00   |        29.0         |     81%     |  Належить   |
| 29  |                   Room, 2 Double Beds, Non Smoking                    |                 Double Room with Two Double Beds                 |     0.66     |  0.00   |        28.0         |     80%     |  Належить   |
| 30  |                Room, 1 King Bed, Non Smoking (LEISURE)                |                            King Room                             |     0.38     |  0.00   |        32.0         |     18%     | Не належить |
| 31  |                Executive Room, 1 King Bed, Non Smoking                |                       Executive King Room                        |     0.66     |  1.00   |        22.0         |     68%     | Не належить |
| 32  |                    Suite, 1 King Bed, Non Smoking                     |                            King Suite                            |     0.50     |  0.00   |        23.0         |     0%      | Не належить |
| 33  |            Room, 1 Queen Bed, Non Smoking (Fairmont Room)             |                            Queen Room                            |     0.36     |  0.00   |        36.0         |     17%     | Не належить |
| 34  |                 Luxury Room, 1 Queen Bed, Non Smoking                 |                           Luxury Queen                           |     0.49     |  0.00   |        25.0         |     20%     | Не належить |
| 35  |                 Luxury Room, 1 King Bed, Non Smoking                  |                           Luxury King                            |     0.47     |  0.00   |        25.0         |     19%     | Не належить |
| 36  |                Luxury Room, 2 Double Beds, Non Smoking                |                        Luxury Double Room                        |     0.63     |  0.00   |        23.0         |     80%     |  Належить   |
| 37  |                 Deluxe Room, 1 King Bed, Non Smoking                  |                         Deluxe King Room                         |     0.62     |  0.00   |        22.0         |     80%     |  Належить   |
| 38  |              Signature Room, 2 Double Beds, Non Smoking               |                         Signature Double                         |     0.55     |  1.00   |        26.0         |     68%     | Не належить |
| 39  |                Signature Room, 1 King Bed, Non Smoking                |                          Signature King                          |     0.53     |  1.00   |        25.0         |     68%     | Не належить |
| 40  |             Fairmont Gold, Suite, 1 King Bed, Non Smoking             |                         Gold King Suite                          |     0.50     |  0.00   |        33.0         |     0%      | Не належить |
| 41  | Room, 1 King Bed, Non Smoking, Business Lounge Access (Fairmont Gold) |    Business King Room - Exclusive access to Gold Floor Lounge    |     0.54     |  0.00   |        51.0         |     0%      | Не належить |
| 42  |                           Room, 1 King Bed                            |                            King Room                             |     0.72     |  0.00   |        12.0         |     82%     |  Належить   |
| 43  |                              Double Room                              |                 Double Room with Two Double Beds                 |     0.51     |  1.00   |        21.0         |     68%     | Не належить |
| 44  |                       Business Plan, 1 King Bed                       |                        Business King Room                        |     0.65     |  1.00   |        12.0         |     68%     | Не належить |
| 45  |                     Room, 1 Queen Bed, City View                      |                    Queen Room With City View                     |     0.75     |  0.00   |        16.0         |     82%     |  Належить   |
| 46  |                  Business Double Room, 2 Double Beds                  |            Business Double Room With Two Double Beds             |     0.84     |  1.00   |         8.0         |     68%     | Не належить |
| 47  |                     Room, 2 Queen Beds, City View                     |           Queen Room With Two Queen Beds and City View           |     0.68     |  0.00   |        18.0         |     80%     |  Належить   |
| 48  |                             Deluxe Suite                              |                           Deluxe Suite                           |     1.00     |  1.00   |         0.0         |     68%     | Не належить |
| 49  |                Room, 1 Queen Bed, Accessible, Bathtub                 |                  Queen Room - Disability Access                  |     0.65     |  0.00   |        29.0         |     80%     |  Належить   |
| 50  |                           Room, 1 King Bed                            |                            King Room                             |     0.72     |  0.00   |        12.0         |     82%     |  Належить   |
| 51  |                          Room, 2 Double Beds                          |                 Double Room with Two Double Beds                 |     0.63     |  0.00   |        15.0         |     80%     |  Належить   |
| 52  |              King Room, Suite, 1 King Bed with Sofa bed               |                 Deluxe King Suite With Sofa Bed                  |     0.66     |  0.00   |        24.0         |     80%     |  Належить   |
| 53  |            Deluxe Suite, 1 King Bed, Non Smoking, Kitchen             |                Deluxe King Suite With Kitchenette                |     0.62     |  1.00   |        28.0         |     68%     | Не належить |
| 54  |                        Deluxe Room, 1 King Bed                        |                         Deluxe King Room                         |     0.82     |  0.00   |        12.0         |     84%     |  Належить   |
| 55  |                       Premier Room, 1 King Bed                        |                        Premier King Room                         |     0.83     |  1.00   |        12.0         |     68%     | Не належить |
| 56  |                           Premier Twin Room                           |              Premier Queen Room With Two Queen Beds              |     0.58     |  1.00   |        24.0         |     68%     | Не належить |
| 57  |                           Suite, 1 Bedroom                            |                       One - Bedroom Suite                        |     0.80     |  0.00   |        12.0         |     83%     |  Належить   |
| 58  |                        Deluxe Suite, 1 Bedroom                        |                    Deluxe One - Bedroom Suite                    |     0.86     |  0.00   |        12.0         |     85%     |  Належить   |
| 59  |                       Classic Room, 1 King Bed                        |                        Classic King Room                         |     0.83     |  1.00   |        12.0         |     68%     | Не належить |
| 60  |                 Luxury Room, 2 Queen Beds (Prestige)                  |              Luxury Queen Room With Two Queen Beds               |     0.60     |  0.00   |        25.0         |     80%     |  Належить   |
| 61  |                      Signature Suite, 1 Bedroom                       |                        One-Bedroom Suite                         |     0.60     |  0.00   |        21.0         |     80%     |  Належить   |
| 62  |                     Traditional Room, 1 King Bed                      |                        Standard King Room                        |     0.57     |  0.00   |        21.0         |     0%      | Не належить |
| 63  |                           Room, 1 Queen Bed                           |              Standard Queen Room With One Queen Bed              |     0.51     |  0.00   |        23.0         |     0%      | Не належить |
| 64  |                           Room, Accessible                            |                  Queen Room - Disability Access                  |     0.65     |  0.00   |        23.0         |     80%     |  Належить   |
| 65  |                 Deluxe Room, 1 Queen Bed (High Floor)                 |          Deluxe Queen Room - High Floor With Free Wi-Fi          |     0.58     |  0.00   |        30.0         |     0%      | Не належить |
| 66  |                       Premium Room, 1 King Bed                        |                Premium King Room With Free Wi-Fi                 |     0.67     |  1.00   |        19.0         |     68%     | Не належить |
| 67  |                       Premium Room, 1 Queen Bed                       |                Premium Queen Room With Free Wi-Fi                |     0.68     |  1.00   |        19.0         |     68%     | Не належить |
| 68  |                      Room, 1 King Bed, Pool View                      |                     King Room With Pool View                     |     0.75     |  0.00   |        15.0         |     81%     |  Належить   |
| 69  |                    Room, 2 Queen Beds, Garden View                    |          Queen Room With Two Queen Beds and Garden View          |     0.70     |  0.00   |        18.0         |     80%     |  Належить   |
| 70  |                         Club Room, 1 King Bed                         |                  Club King Room With Free Wi-Fi                  |     0.55     |  0.00   |        19.0         |     0%      | Не належить |
| 71  |                        Club Room, 2 Queen Beds                        |        Club Queen Room With Two Queen Beds and Free Wi-Fi        |     0.55     |  0.00   |        29.0         |     0%      | Не належить |
| 72  |                 Standard Room, Mountain View (Scenic)                 |                 Standard Room With Mountain View                 |     0.78     |  1.00   |        14.0         |     68%     | Не належить |
| 73  |                      Standard Room, Lagoon View                       |                Standard Room Dolphin Lagoon View                 |     0.85     |  1.00   |         8.0         |     68%     | Не належить |
| 74  |                       Standard Room, Ocean View                       |                  Standard Room With Ocean View                   |     0.89     |  1.00   |         5.0         |     68%     | Не належить |
| 75  |                       Standard Room, Oceanfront                       |               Standard Room With Ocean Front View                |     0.63     |  1.00   |        12.0         |     68%     | Не належить |
| 76  |                         City Room, City View                          |                       Room With City View                        |     0.72     |  0.00   |         9.0         |     61%     | Не належить |
| 77  |                       Room, Partial Ocean View                        |                     Partical Ocean View Room                     |     0.96     |  0.00   |        12.0         |     86%     |  Належить   |
| 78  |                          Deluxe Room, Corner                          |                       Corner Deluxe Studio                       |     0.77     |  0.00   |        18.0         |     82%     |  Належить   |
| 79  |                           Room, Ocean View                            |                       Room With Ocean View                       |     0.83     |  0.00   |         6.0         |     84%     |  Належить   |
| 80  |                      Room, 1 King Bed, City View                      |                   City View With One King Bed                    |     0.70     |  0.00   |        22.0         |     80%     |  Належить   |
| 81  |                    Room, 2 Double Beds, City View                     |                  City View With Two Double Beds                  |     0.77     |  0.00   |        28.0         |     82%     |  Належить   |
| 82  |                Room, 2 Double Beds, Partial Ocean View                |             Partial Ocean View With Two Double Beds              |     0.82     |  0.00   |        36.0         |     84%     |  Належить   |
| 83  |          Room, 2 Double Beds, Accessible, Partial Ocean View          |        Accessible Partial Ocean View With Two Double Beds        |     0.85     |  0.00   |        43.0         |     84%     |  Належить   |
| 84  |            Room, 2 Double Beds, Ocean View (Diamond Head)             |        Club Diamond Head Ocean View With Two Double Beds         |     0.67     |  0.00   |        35.0         |     80%     |  Належить   |
| 85  |                   Club Room, 1 King Bed, Oceanfront                   |                Club Ocean Front With One King Bed                |     0.63     |  0.00   |        23.0         |     80%     |  Належить   |
| 86  |            Club Suite, 1 King Bed, Accessible, Ocean View             |        Accessible Club Ocean View Suite With One King Bed        |     0.85     |  0.00   |        41.0         |     84%     |  Належить   |
| 87  |         Club Suite, 1 King Bed, Oceanfront (No Resort Charge)         |                 Club Ocean Front Suite King Bed                  |     0.60     |  1.00   |        37.0         |     66%     | Не належить |
| 88  | Standard Room, Mountain View (City View - Kona Tower) - No Resort Fee |                 Kona Tower City / Mountain View                  |     0.58     |  0.00   |        54.0         |     0%      | Не належить |
| 89  |    Standard Room, Partial Ocean View (Kona Tower) - No Resort Fee     |                  Kona Tower Partial Ocean View                   |     0.64     |  0.00   |        39.0         |     80%     |  Належить   |
| 90  |   Standard Room, Partial Ocean View (Waikiki Tower) - No Resort Fee   |                 Waikiki Tower Partial Ocean View                 |     0.49     |  0.00   |        43.0         |     20%     | Не належить |
| 91  |       Standard Room, Ocean View (Waikiki Tower) - No Resort Fee       |                     Waikiki Tower Ocean View                     |     0.40     |  0.00   |        41.0         |     18%     | Не належить |
| 92  |                   Room, 2 Queen Beds (Waikiki View)                   |         Queen Room With Two Queen Beds and Waikiki View          |     0.50     |  0.00   |        19.0         |     0%      | Не належить |
| 93  |                           Room, Ocean View                            |              King Or Two Queen Room With Ocean View              |     0.56     |  0.00   |        23.0         |     0%      | Не належить |
| 94  |                           Room, Oceanfront                            |               One King Or Two Queens - Ocean Front               |     0.35     |  0.00   |        25.0         |     17%     | Не належить |
| 95  |                      Regency Club, Mountain View                      |                    Regency Club Mountain View                    |     0.98     |  1.00   |         1.0         |     68%     | Не належить |
| 96  |                       Regency Club, Ocean View                        |                     Regency Club Ocean View                      |     0.98     |  1.00   |         1.0         |     68%     | Не належить |
| 97  |                     Room, 1 King Bed, Ocean View                      |                  Ocean View Room With King Bed                   |     0.84     |  0.00   |        25.0         |     84%     |  Належить   |
| 98  |                 Room, 1 King Bed, Resort View (Alii)                  |               Alii Tower Resort View With King Bed               |     0.75     |  0.00   |        27.0         |     82%     |  Належить   |
| 99  |       Room, 1 King Bed, Accessible, Resort View (Alii, Bathtub)       |  Alii Tower Resort View With King Bed - Mobility Accessible Tub  |     0.59     |  0.00   |        52.0         |     0%      | Не належить |
| 100 |         Room, 1 King Bed, Accessible, View (Rainbow, Bathtub)         | Rainbow Tower Ocean View With King Bed - Mobility Accessible Tub |     0.50     |  0.00   |        55.0         |     20%     | Не належить |
| 101 |                  Room, 1 King Bed, Ocean View (Alii)                  |               Alii Tower Ocean View With King Bed                |     0.74     |  0.00   |        27.0         |     81%     |  Належить   |
| 102 |                Room, 1 King Bed, Oceanfront (Rainbow)                 |             Rainbow Tower Ocean Front with King Bed              |     0.47     |  0.00   |        27.0         |     19%     | Не належить |
| 103 |         Junior Suite, 1 King Bed, Accessible (Roll-in Shower)         |             Junior Suite - Accessible Roll-in Shower             |     0.75     |  1.00   |        14.0         |     68%     | Не належить |
+-----+-----------------------------------------------------------------------+------------------------------------------------------------------+--------------+---------+---------------------+-------------+-------------+
